"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T6104",0.076121876,0.067370708,0.075771567,0.072307303,0.418191936955859,0.206521113635983,17.9358288611693
"T6115",0.07920785,0.070070755,0.078902566,0.075077394,0.421614755972487,0.197764257815997,17.7736826564259
"T6088",0.074706441,0.063768241,0.073819477,0.07002023,0.498352439025166,0.00412983466309002,14.1882534261915
"T6099",0.074876344,0.065110387,0.074403192,0.070674742,0.463908747243797,0.0905911120016358,15.7892125222311
"T6112",0.078643701,0.069702843,0.078536214,0.074816159,0.41855137359945,0.20560080687207,17.9187880131714
"T6123",0.079608938,0.069842701,0.079356687,0.075338711,0.445682300014741,0.136577705178411,16.6407226653666
"T6130",0.067594898,0.063322389,0.067360675,0.065692847,0.147835733014776,1.04576083849652,33.4756001048015
"T6140",0.071411561,0.065637643,0.071088944,0.068977421,0.259076267241353,0.646195838177369,26.0770600714954
"T6145",0.069812386,0.062974111,0.069576623,0.067115671,0.350422622128932,0.384179725367756,21.2254421909385
"T6167",0.067061755,0.060780493,0.066724469,0.064598516,0.326490453101382,0.449624934002845,22.437257529339
"T6126",0.066547406,0.06213008,0.06630068,0.064703935,0.167658508499728,0.963459424744638,31.9516670677372
"T6141",0.071634717,0.064110395,0.071259039,0.068464304,0.378656830112909,0.309010341436565,19.8335692895341
"T6158",0.069092296,0.063896627,0.068937842,0.067065126,0.229457879643309,0.740633386119505,27.8257116764635
"T6165",0.068305332,0.06213348,0.068033488,0.065941353,0.311823159329347,0.490689154173751,23.1976226179436
"T6132",0.073630259,0.068392376,0.073363589,0.071325149,0.201202157508883,0.837334957266733,29.6162850371055
"T6147",0.06981845,0.063351576,0.069617347,0.067262744,0.326185815013181,0.45046993210291,22.4529039254608
"T6153",0.072666703,0.066260373,0.072350896,0.070163028,0.299649091045831,0.525410030574634,23.8405312656935
"T6160",0.065253298,0.060197091,0.065089918,0.063228679,0.243311044342442,0.69569143796222,26.9935446889875
"T6134",0.068532192,0.064556897,0.068341213,0.066896408,0.112680011372341,1.21239811341082,36.5611369974465
"T6149",0.07042983,0.063615025,0.070224029,0.06753285,0.347218082973095,0.392842021485543,21.3858374822092
"T6162",0.065893306,0.061417272,0.065686954,0.064051276,0.179786716919235,0.916178207024542,31.0761850264017
"T6169",0.06735967,0.061881645,0.067213529,0.065641853,0.265756522473131,0.625698000590725,25.6975121334632
"T6128",0.06830844,0.063919174,0.068175111,0.066553467,0.157974640906158,1.00281675784682,32.6804266045536
"T6138",0.070272832,0.065132088,0.070136546,0.06809349,0.218716829218953,0.776534161485986,28.4904679077738
"T6143",0.068788239,0.061963007,0.068501576,0.066146161,0.354337431537757,0.373636380925416,21.0302164932941
"T6155",0.072539566,0.066822458,0.072268656,0.070376975,0.247322941606324,0.682938217583121,26.7573998528458
"T6136",0.073011545,0.068815591,0.072876398,0.071243495,0.112370126441318,1.21401956547697,36.5911605931417
"T6151",0.07031058,0.063706691,0.069828411,0.067825594,0.323520368170345,0.457877105100037,22.590058746101
"T6164",0.07040231,0.064624629,0.070111961,0.067808222,0.268789836381392,0.616477112945152,25.5267736895707
"T6171",0.067848634,0.062412935,0.067677946,0.065898208,0.258005850478459,0.649505487070751,26.1383431413697
"T6203",0.066915129,0.058842471,0.06601428,0.060950303,0.455632062645992,0.1114441829862,16.1753381347683
"T6205",0.068116019,0.059952014,0.067017104,0.061626667,0.458208205907592,0.10494883040787,16.0550670248292
"T6210",0.073988241,0.07470774,0.072324365,0.068021711,0.294589094355297,0.54002732435625,24.1111921922899
"T6216",0.063440232,0.058507192,0.062468288,0.059063147,0.281085599580903,0.579619560610517,24.844301310209
"T6218",0.073318113,0.065696647,0.072281301,0.067427272,0.398777551419166,0.256512534729051,18.8614943473443
