"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T6894",0.142027263,0.182512765,0.238596836,0.156449074,0.095959003,0.24128319886954,0.702180832125978,3.97510776719241
"T6898",0.126504411,0.148146856,0.205437483,0.154638779,0.12796373,0.00107544782963726,3.06856495207756,9.80382007333567
"T6902",0.126504411,0.148146856,0.205437483,0.154638779,0.12796373,0.00107544782963726,3.06856495207756,9.80382007333567
"T6891",0.065749375,0.069122609,0.315207912,0.06091205,0.062800508,7.53749238236202e-11,6.40461443799999,18.0209444736198
"T6893",0.076014722,0.171174784,0.265329229,0.158937201,0.080636715,0.472328835373022,0.0694170336330754,2.41652811477613
"T6897",0.084796068,0.1791305,0.079758352,0.091498727,0.106187025,0.433475510190183,0.167532572698928,2.65819946692699
"T6901",0.098936377,0.114664937,0.104153594,0.099627541,0.096486073,1.91171943590658e-05,4.11789797369017,12.3884639799391
"T2148",0.079928147,0.091508793,0.299957717,0.06961442,0.026769645,0.479750410668424,0.0507800083627996,2.37062269408518
"T2126",0.058537871,0.093102812,0.344902844,0.056805948,0.029436232,0.494427725935848,0.013968073921611,2.27995010484609
"T2136",0.059974674,0.103442,0.349257476,0.062683554,0.036802422,0.479364631672132,0.0517482844256848,2.37300768414487
"T2128",0.051734267,0.07938721,0.338273149,0.056239897,0.031349913,0.415117131792963,0.214401126094947,2.77364281851443
"T2130",0.06749232,0.084847843,0.331826352,0.054092444,0.05852747,0.143266175161911,1.0657595504183,4.87064950603978
"T2122",0.058732857,0.081817297,0.338546284,0.05537822,0.028510494,0.44760517791448,0.131714196931268,2.56997414211062
"T2124",0.076892474,0.088107141,0.313114002,0.056662327,0.030673406,0.4586832334004,0.103751612470556,2.50109865449069
"T6029",0.085186313,0.052125322,0.129918796,0.065463862,0.052058783,0.229161263592863,0.741611874068172,4.0722315593421
"T6031",0.085186313,0.051376984,0.137219031,0.06065423,0.051331624,0.252362031757328,0.66707525763068,3.88863816475138
"T6033",0.085186313,0.049964269,0.05177675,0.064402174,0.045936198,0.311205995753035,0.492434816512828,3.45847601156945
"T6035",0.085186313,0.051895747,0.05956916,0.056666702,0.054999424,0.235324049342245,0.72142495288089,4.02250854313548
"T6037",0.085186313,0.066854531,0.088481706,0.073907596,0.070399559,0.00201038286421657,2.87652795980896,9.33080794878944
"T6039",0.085186313,0.075008389,0.071889688,0.083133592,0.070298716,0.000127252481719421,3.65768358124031,11.2548959889606
"T6042",0.085186313,0.052911901,0.262921019,0.047886051,0.044048858,0.370749960205259,0.329867713166599,3.05805206185683
"T6044",0.085186313,0.058287668,0.122888665,0.05184562,0.052662938,0.245380836556547,0.689097881482383,3.94288275571856
"T6046",0.085186313,0.050887572,0.056214308,0.069245644,0.049295237,0.270576131237942,0.611071475953631,3.7506935560552
"T6048",0.085186313,0.051642618,0.072862143,0.056674887,0.056264873,0.229155746446775,0.741630080957989,4.07227640528315
"T6050",0.085186313,0.067148952,0.084322166,0.072076994,0.07188241,0.001497481959806,2.96825434507635,9.55674198295504
"T6052",0.085186313,0.072835157,0.070123857,0.081714006,0.069541132,0.000386124502516005,3.36255442884169,10.5279544463836
"T6053",0.085186313,0.042774207,0.298216505,0.054714275,0.040205281,0.426794669277989,0.184540652642478,2.70009258311003
