"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672716",11.06557435,12.01920743,13.27671636,13.64514461,12.3046145,11.85025242,10.92041933,14.04813494,14.34210483,14.37539108,11.17430409,11.4657,13.9974171,13.99217212,0.435443627985085,0.162531587201098,8.70408349910067
"GSM672717",11.72211413,12.45830409,13.17780409,13.5191461,12.719671,12.39445725,10.76898067,14.17215799,14.26634535,14.41200297,11.1778052,11.36494387,14.02859517,14.01692193,0.344017305357027,0.401523675551643,9.12035285414845
"GSM672719",11.73237063,10.04106729,13.14143123,13.08807955,12.58472156,12.2190777,10.3865855,13.84343978,14.01692193,14.12791078,10.86517584,11.28929814,13.37430892,13.73114758,0.308598426305637,0.499827063493784,9.29157478948577
"GSM672720",11.05639108,9.443779926,13.1468632,12.92828178,12.07722007,11.69475316,10.52767361,13.74509665,13.95989033,13.7522145,10.80641041,11.07680223,13.16499442,13.55989331,0.338544184473385,0.416439582716744,9.1463329403447
"GSM672721",11.16719814,9.49563197,13.10414349,12.83418104,12.11607323,11.9466974,10.46088141,13.73822305,13.96540669,13.8485,10.91210632,11.14255428,13.08627212,13.61745502,0.305054453775501,0.509918004729164,9.30915089264829
"GSM672724",8.493020818,9.424471375,13.60618996,11.33414907,11.13711487,11.01436617,10.61326914,12.35933978,12.44648699,12.25278848,11.00543048,10.2203197,12.03148699,11.96838401,0.26836887014602,0.617753650813455,9.49697583345063
"GSM672740",10.07311375,9.606279554,12.82026617,12.59782974,11.75678996,11.24241227,10.88470892,13.35817584,13.22730074,13.56877881,11.38041859,11.26665725,13.04444907,13.33925093,0.20542651521967,0.822393407041136,9.85341131183804
"GSM672741",9.844852788,9.888286245,12.79327175,12.11672937,11.73350112,11.38512714,10.89689591,13.00465167,13.30389257,13.30781115,11.30602491,10.68654312,13.04265836,13.10592714,0.23238823584387,0.731004389680259,9.69423262279514
"GSM672742",9.75594052,10.03850483,12.66355688,12.05551227,11.68223941,11.27794777,10.70275725,13.2749487,13.20139963,13.4302974,11.13599963,10.62139108,13.05679517,13.06405353,0.354725446103334,0.372593659989128,9.06996340819296
"GSM672743",10.00627323,8.893053903,12.34349182,10.03493197,11.86197993,11.72854535,10.59704647,12.73350074,12.58011896,13.06050818,11.02835167,10.56992156,12.86164312,12.65748922,0.077842949837845,1.41973137713791,10.8938369312544
